ivvi_dac14	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
1613.3333333333333	-0.000243289509	5.50451e-05	-2.064	3.35402958278014e-06	0.04328845981710306
1606.6666666666665	-0.000235338389	5.40318e-05	-1.926	3.287618095895178e-06	0.042431326357048486
1600.0	-0.000235264053	5.3555e-05	-1.356	3.256433837579572e-06	0.04202884973014219
1593.3333333333333	-0.000243555316	5.41809e-05	-2.304	3.297378260369346e-06	0.04255729497993049
1586.6666666666665	-0.000250846987	5.43895e-05	-2.172	3.311040165117797e-06	0.04273362103792495
1580.0	-0.000251633708	5.53729e-05	-0.342	3.3755539288261414e-06	0.04356626171655125
1573.3333333333333	-0.00024537035	5.52835e-05	1.188	3.3696816906906554e-06	0.043490472240552136
1566.6666666666665	-0.000242401984	5.60584e-05	-0.972	3.420629957711514e-06	0.04414803114253873
1560.0	-0.000242220644	5.61776e-05	-1.836	3.428476976979572e-06	0.044249307941053966
1553.3333333333333	-0.000240724911	5.66246e-05	-1.614	3.457926700768618e-06	0.04462939796512889
1546.6666666666665	-0.000230389975	5.76081e-05	-1.452	3.5228530505317435e-06	0.04546736364593918
1540.0	-0.000242778156	5.88896e-05	-2.232	3.607722046277682e-06	0.04656271716664985
1533.3333333333333	-0.000241233998	6.00221e-05	-1.158	3.6829788423979795e-06	0.047534011758547004
1526.6666666666665	-0.000233986816	6.08566e-05	-0.738	3.738587089658601e-06	0.048251714246742
1520.0	-0.000237070627	6.01413e-05	-0.444	3.690913905918679e-06	0.04763642489173029
1513.3333333333333	-0.000243219103	6.09758e-05	-1.56	3.7465408784006863e-06	0.04835436905519187
1506.6666666666665	-0.00024116473	6.20489e-05	-2.748	3.818265827416207e-06	0.04928008020254809
1500.0	-0.000230791501	6.3092e-05	-2.76	3.888194734923951e-06	0.05018261091314301
1493.3333333333333	-0.000225060883	6.42841e-05	-2.52	3.968366155884891e-06	0.05121733563726754
1486.6666666666665	-0.000226128053	6.50887e-05	-2.94	4.022630904621914e-06	0.05191769839114662
