time	field_x	field_y	field_z	keithley_1	lockin_1_X	lockin_1_phase	lockin_1_processed	conductance
207.9915189743042	0.2561	-1.54815	1e-05	-0.000174785938	0.000135452	-3.852	1.808146847151483e-05	0.23336673158219237
208.86051893234253	0.25608	-1.54804	-1e-05	-0.000142640792	0.000135244	-2.838	1.80421805647467e-05	0.2328596659969149
209.72951889038086	0.25605	-1.5479	1e-05	-0.000156101431	0.000135691	-3.798	1.8126673788064665e-05	0.23395016964697082
210.61251878738403	0.25604	-1.54778	-0.0	-0.000176755834	0.000137032	-4.074	1.8381551752547502e-05	0.2372397275508206
211.50351881980896	0.25601	-1.54764	-0.0	-0.000163333493	0.000135393	-4.824	1.8070319208457293e-05	0.23322283469221428
212.37351870536804	0.25599	-1.54752	-3e-05	-0.000173451214	0.00013426	-4.122	1.7856996273955027e-05	0.23046960278105938
213.2435188293457	0.25597	-1.54739	-1e-05	-0.000180534061	0.000136347	-4.902	1.825109387164619e-05	0.23555598547406173
214.1365189552307	0.25596	-1.54726	0.0	-0.000179483205	0.00013587	-4.404	1.816057399614233e-05	0.23438769941793516
215.01651883125305	0.25592	-1.54713	-0.0	-0.000161163058	0.000136436	-3.618	1.82680127632485e-05	0.23577434751923765
215.9955189228058	0.25591	-1.54699	1e-05	-0.000171500964	0.000136138	-5.004	1.8211399419443208e-05	0.23504367284927968
216.86751890182495	0.25587	-1.54686	1e-05	-0.000174152318	0.000138284	-3.366	1.8621424960308672e-05	0.24033562800700023
217.77251887321472	0.25586	-1.54674	-0.0	-0.000165568561	0.000135751	-4.884	1.8138032830810256e-05	0.234096774038291
218.64151883125305	0.25583	-1.54661	-3e-05	-0.00017117143	0.000135482	-3.81	1.8087139137573836e-05	0.2334399194875978
219.50951886177063	0.25582	-1.54649	2e-05	-0.000148402913	0.0001373	-4.812	1.8432742402871383e-05	0.2379004147495661
220.38551878929138	0.25579	-1.54634	-1e-05	-0.000161014275	0.000136525	-4.524	1.828494093171337e-05	0.2359928292953469
221.28651881217957	0.25577	-1.54623	-1e-05	-0.000183568788	0.000139655	-4.578	1.888624065708656e-05	0.2437534462957124
222.15651893615723	0.25574	-1.5461	-1e-05	-0.000150050698	0.000135125	-4.65	1.8019725892834724e-05	0.2325698569362679
223.0245189666748	0.25572	-1.54596	-1e-05	-0.000157635893	0.000137956	-3.564	1.855840311821606e-05	0.23952224267103528
223.91051864624023	0.25572	-1.54584	-1e-05	-0.000167259153	0.00013429	-3.936	1.7862625658341267e-05	0.23054225788853067
224.8005187511444	0.25568	-1.54571	-1e-05	-0.000168767292	0.000139565	-3.594	1.8868787448732308e-05	0.24352818814283222
225.66951870918274	0.25565	-1.54558	-1e-05	-0.000165976831	0.000135035	-5.412	1.8002754251369483e-05	0.23235081408006583
226.64851880073547	0.25563	-1.54544	0.0	-0.000190499585	0.000137241	-3.9	1.8421465547933312e-05	0.23775487110726903
227.54451894760132	0.25562	-1.54531	-1e-05	-0.000173148645	0.000140668	-4.062	1.9083362304318345e-05	0.24629757785289483
228.42051887512207	0.25558	-1.54519	-2e-05	-0.000179373237	0.00013891	-3.756	1.874206053492964e-05	0.2418925994336399
